# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Wed May 15 05:53:33 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.002 -0.88764 6.17609 0.2827868760 1.9170973324    0.282 -0.595  3.5566  3.661    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.98e-14      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 6.258 10.208 8.997 7.578 6.569 5.632 4.557 3.884 3.662
0.002 -0.88764 6.17609 0.3034550846 1.9597818862    0.302 -0.566  3.5611  3.681    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.06e-14      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 6.185 10.068 8.867 7.459 6.463 5.556 4.498 3.817 3.600
0.002 -0.88764 6.17609 0.3286885023 2.0070381565    0.328 -0.540  3.5660  3.710    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.93e-14      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 6.121 9.934 8.743 7.349 6.367 5.489 4.449 3.759 3.549
0.002 -0.88764 6.17609 0.3341178596 2.0165915793    0.333 -0.532  3.5673  3.714    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.98e-14      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 6.101 9.895 8.707 7.316 6.338 5.468 4.433 3.741 3.532
0.002 -0.88764 6.17609 0.3745901287 2.0819731901    0.374 -0.476  3.5770  3.746    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -9.3e-14      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 5.960 9.603 8.444 7.090 6.142 5.323 4.319 3.611 3.416
0.002 -0.88764 6.17609 0.4188045859 2.1436468925    0.418 -0.408  3.5891  3.775    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.94e-14      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 5.790 9.237 8.122 6.820 5.911 5.151 4.182 3.455 3.279
0.002 -0.88764 6.17609 0.4204918146 2.1458310481    0.420 -0.406  3.5895  3.777    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.96e-14      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 5.784 9.223 8.111 6.810 5.903 5.144 4.177 3.450 3.275
0.002 -0.88764 6.17609 0.4524164200 2.1851276275    0.452 -0.355  3.5988  3.795    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.06e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 5.657 8.931 7.860 6.608 5.734 5.014 4.072 3.339 3.179
0.002 -0.88764 6.17609 0.4663934112 2.2012144095    0.466 -0.333  3.6027  3.802    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.09e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 5.603 8.803 7.754 6.524 5.663 4.957 4.026 3.294 3.139
0.002 -0.88764 6.17609 0.5122950673 2.2497796456    0.512 -0.257  3.6158  3.820    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.21e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 5.414 8.358 7.390 6.234 5.423 4.760 3.865 3.141 3.004
0.002 -0.88764 6.17609 0.5204182863 2.2575565603    0.520 -0.245  3.6180  3.823    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.23e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 5.383 8.284 7.330 6.186 5.383 4.729 3.839 3.118 2.983
0.002 -0.88764 6.17609 0.5345944166 2.2704795475    0.534 -0.224  3.6218  3.829    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.26e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 5.331 8.158 7.228 6.104 5.315 4.674 3.796 3.080 2.949
0.002 -0.88764 6.17609 0.5494835377 2.2832301947    0.549 -0.204  3.6256  3.836    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.29e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 5.281 8.039 7.132 6.026 5.250 4.623 3.754 3.044 2.917
