# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Fri Apr  5 13:29:59 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.002 -0.88764 6.00000 0.5142486095 2.2516757201    0.514 -0.085  3.6281  3.698    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.07e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 4.982 7.657 6.787 5.702 4.942 4.327 3.464 2.753 2.629
0.002 -0.88764 6.00000 0.5267359018 2.2634145342    0.526 -0.067  3.6310  3.702    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.12e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 4.937 7.555 6.707 5.635 4.886 4.280 3.426 2.720 2.599
0.002 -0.88764 6.00000 0.5398923755 2.2751093041    0.539 -0.048  3.6344  3.708    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.17e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 4.891 7.440 6.619 5.564 4.827 4.232 3.388 2.690 2.572
0.002 -0.88764 6.00000 0.5538298488 2.2868039153    0.553 -0.030  3.6382  3.715    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.21e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 4.844 7.315 6.525 5.489 4.767 4.184 3.351 2.660 2.545
0.002 -0.88764 6.00000 0.5581966639 2.2903301170    0.558 -0.024  3.6394  3.718    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.23e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 4.830 7.277 6.497 5.466 4.749 4.169 3.340 2.652 2.538
0.002 -0.88764 6.00000 0.5616735220 2.2930926362    0.561 -0.021  3.6400  3.720    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.23e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 4.822 7.256 6.480 5.453 4.738 4.160 3.333 2.646 2.533
0.002 -0.88764 6.00000 0.5760496259 2.3041091317    0.576 -0.004  3.6428  3.725    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.28e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 4.779 7.147 6.401 5.388 4.685 4.115 3.298 2.620 2.509
0.002 -0.88764 6.00000 0.5910085440 2.3149203939    0.591  0.014  3.6461  3.731    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.33e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 4.734 7.026 6.314 5.318 4.628 4.067 3.263 2.595 2.487
0.002 -0.88764 6.00000 0.6040982604 2.3238773285    0.604  0.030  3.6494  3.738    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.37e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 4.694 6.909 6.232 5.252 4.577 4.024 3.232 2.575 2.469
0.002 -0.88764 6.00000 0.6056404710 2.3249033409    0.605  0.032  3.6497  3.739    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.38e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 4.690 6.898 6.224 5.246 4.571 4.020 3.229 2.572 2.467
