# Full  o    Mo      Zo    Md  NB       Age         Mass      logL    logTe      X          Y         C12        O16        Ne20      QCC        logMdot log(rho.c)   logTc      Xc         Yc   
#           Msun                         yr        solMass [solLum]    [K]                                                                  [solMass/yr]    [g/cm3]    [K]                       
#
   83     120.00  0.020   2  40   3.307494e+06    2.7988    4.124   4.646   0.000000   0.347245   0.473505   0.152108   0.001421   0.4507       -5.575      3.416   8.327   0.000000   0.051556
   84     120.00  0.020   2  41   3.359904e+06    2.6684    4.085   4.656   0.000000   0.327525   0.480701   0.164628   0.001421   0.4397       -5.628      3.480   8.341   0.000000   0.030482
   85     120.00  0.020   2  42   3.417958e+06    2.5408    4.052   4.672   0.000000   0.309665   0.486402   0.176784   0.001421   0.4220       -5.683      3.590   8.369   0.000000   0.009811
   86     120.00  0.020   2  43   3.450211e+06    2.4763    4.105   4.712   0.000000   0.298696   0.489499   0.184654   0.001421   0.0000       -5.713      3.897   8.454   0.000000   0.000000
   87     120.00  0.020   2  44   3.483442e+06    2.4141    4.361   4.772   0.000000   0.289854   0.491746   0.191248   0.001421   0.0000       -5.741      4.643   8.582   0.000000   0.000000
   88     120.00  0.020   2  45   3.507973e+06    2.3706    4.568   4.776   0.000000   0.281327   0.493682   0.197837   0.001421   0.0000       -5.762      5.310   8.699   0.000000   0.000000
   89     120.00  0.020   2  46   3.513752e+06    2.3607    4.638   4.748   0.000000   0.279427   0.494090   0.199329   0.001421   0.0000       -5.766      5.772   8.761   0.000000   0.000000
   90     120.00  0.020   2  47   3.515346e+06    2.3579    4.658   4.727   0.000000   0.278884   0.494201   0.199760   0.001421   0.1577       -5.768      5.692   8.876   0.000000   0.000000
   91     120.00  0.020   2  48   3.516956e+06    2.3552    4.696   4.704   0.000000   0.278364   0.494307   0.200173   0.001421   0.2235       -5.769      5.579   8.881   0.000000   0.000000
   92     120.00  0.020   2  49   3.518130e+06    2.3532    4.707   4.699   0.000000   0.277972   0.494386   0.200486   0.001421   0.2321       -5.770      5.606   8.896   0.000000   0.000000
   93     120.00  0.020   2  50   3.518945e+06    2.3518    4.709   4.698   0.000000   0.277709   0.494439   0.200696   0.001421   0.1592       -5.770      5.700   8.919   0.000000   0.000000
   94     120.00  0.020   2  51   3.519620e+06    2.3507    4.709   4.691   0.000000   0.277497   0.494482   0.200866   0.001421   0.0000       -5.771      6.190   8.879   0.000000   0.000000
   95      85.00  0.020   1   1   2.000152e+04   84.9687    6.006   4.705   0.680000   0.300000   0.004466   0.010607   0.001420   0.8220       -6.389      0.233   7.621   0.668319   0.311257
   96      85.00  0.020   1   2   3.196743e+05   84.5653    6.024   4.696   0.680000   0.300000   0.004466   0.010607   0.001420   0.7798       -5.806      0.214   7.617   0.621624   0.358430
   97      85.00  0.020   1   3   7.825845e+05   83.6364    6.051   4.682   0.680000   0.300000   0.004466   0.010607   0.001420   0.7420       -5.600      0.212   7.619   0.540620   0.439760
   98      85.00  0.020   1   4   1.184920e+06   82.3445    6.075   4.665   0.680000   0.300000   0.004466   0.010607   0.001420   0.7100       -5.398      0.221   7.623   0.461378   0.519134
   99      85.00  0.020   1   5   1.549164e+06   80.4603    6.096   4.642   0.680000   0.300000   0.004466   0.010607   0.001420   0.6817       -5.184      0.239   7.630   0.381247   0.599327
  100      85.00  0.020   1   6   1.881269e+06   77.6108    6.114   4.603   0.680000   0.300000   0.004466   0.010607   0.001420   0.6598       -4.957      0.266   7.638   0.299414   0.681192
  101      85.00  0.020   1   7   2.171486e+06   73.5285    6.129   4.540   0.680000   0.300000   0.004465   0.010607   0.001420   0.6491       -4.767      0.302   7.649   0.220254   0.760369
  102      85.00  0.020   1   8   2.370963e+06   69.8029    6.142   4.475   0.676664   0.302714   0.000113   0.010126   0.001420   0.6479       -4.706      0.339   7.659   0.160375   0.820256
  103      85.00  0.020   1   9   2.554692e+06   66.1133    6.157   4.438   0.616673   0.363411   0.000184   0.004594   0.001420   0.6467       -4.691      0.387   7.673   0.100062   0.880576
  104      85.00  0.020   1  10   2.666320e+06   63.8211    6.168   4.417   0.569431   0.410867   0.000207   0.002923   0.001420   0.6456       -4.684      0.435   7.688   0.060380   0.920262
  105      85.00  0.020   1  11   2.775285e+06   61.5851    6.181   4.382   0.524858   0.455557   0.000220   0.002006   0.001420   0.6445       -4.687      0.537   7.721   0.018815   0.961836
  106      85.00  0.020   1  12   2.822112e+06   60.5859    6.199   4.446   0.501114   0.479344   0.000226   0.001670   0.001420   0.6308       -4.623      0.949   7.857   0.000114   0.980561
  107      85.00  0.020   1  13   2.822791e+06   60.5692    6.206   4.478   0.500782   0.479676   0.000226   0.001665   0.001420   0.5874       -4.596      1.181   7.933   0.000000   0.980679
  108      85.00  0.020   1  14   2.823866e+06   60.5412    6.217   4.524   0.500233   0.480226   0.000226   0.001658   0.001420   0.5501       -4.580      1.592   8.067   0.000000   0.980679
  109      85.00  0.020   1  15   2.825449e+06   60.4992    6.217   4.454   0.499320   0.481140   0.000226   0.001647   0.001420   0.4047       -4.589      1.864   8.150   0.000000   0.980664
  110      85.00  0.020   1  16   2.825982e+06   60.4863    6.219   4.371   0.499046   0.481415   0.000226   0.001644   0.001420   0.3879       -4.645      1.958   8.179   0.000000   0.980640
  111      85.00  0.020   1  17   2.826354e+06   60.4782    6.222   4.287   0.498874   0.481588   0.000226   0.001642   0.001420   0.4598       -4.657      2.022   8.199   0.000000   0.980626
  112      85.00  0.020   1  18   2.826674e+06   60.4701    6.224   4.182   0.498302   0.482160   0.000226   0.001635   0.001420   0.4352       -4.537      2.077   8.216   0.000000   0.980595
  113      85.00  0.020   1  19   2.829604e+06   51.9462    6.271   4.253   0.267233   0.713377   0.000267   0.000518   0.001420   0.6431       -4.398      2.231   8.265   0.000000   0.977685
  114      85.00  0.020   1  20   2.833490e+06   51.7907    6.290   4.014   0.259951   0.720660   0.000269   0.000506   0.001420   0.6525       -4.398      2.316   8.293   0.000000   0.974226
  115      85.00  0.020   1  21   2.834666e+06   51.6040    6.295   4.365   0.179368   0.801263   0.000298   0.000395   0.001420   0.6543       -4.398      2.353   8.305   0.000000   0.972220
  116      85.00  0.020   1  22   2.841828e+06   51.3175    6.297   4.338   0.178947   0.801684   0.000300   0.000395   0.001420   0.6696       -4.398      2.391   8.319   0.000000   0.950368
  117      85.00  0.020   1  23   2.853976e+06   50.8316    6.297   4.344   0.178284   0.802348   0.000300   0.000394   0.001420   0.6859       -4.398      2.412   8.327   0.000000   0.900441
  118      85.00  0.020   1  24   2.865485e+06   50.3712    6.297   4.349   0.178028   0.802603   0.000298   0.000394   0.001420   0.7003       -4.398      2.418   8.330   0.000000   0.850679
  119      85.00  0.020   1  25   2.877634e+06   49.8853    6.296   4.364   0.177908   0.802723   0.000296   0.000394   0.001420   0.7160       -4.398      2.424   8.333   0.000000   0.799324
  120      85.00  0.020   1  26   2.889782e+06   49.3993    6.294   4.378   0.177803   0.802827   0.000293   0.000394   0.001420   0.7316       -4.398      2.431   8.336   0.000000   0.750438
  121      85.00  0.020   1  27   2.902570e+06   48.8878    6.293   4.402   0.176333   0.804297   0.000289   0.000392   0.001420   0.7486       -4.398      2.439   8.340   0.000000   0.699010
  122      85.00  0.020   1  28   2.915358e+06   48.3763    6.289   4.428   0.175779   0.804849   0.000280   0.000391   0.001420   0.7657       -4.398      2.446   8.343   0.000000   0.649544
  123      85.00  0.020   1  29   2.928846e+06   47.8367    6.284   4.456   0.174606   0.806019   0.000261   0.000390   0.001420   0.7835       -4.398      2.455   8.347   0.000000   0.600414
  124      85.00  0.020   1  30   2.942695e+06   47.2828    6.278   4.485   0.173044   0.807571   0.000210   0.000389   0.001420   0.8029       -4.398      2.465   8.351   0.000000   0.550242
  125      85.00  0.020   1  31   2.957698e+06   46.6826    6.268   4.522   0.171248   0.809367   0.000206   0.000389   0.001420   0.8230       -4.398      2.476   8.355   0.000000   0.500914
  126      85.00  0.020   1  32   2.973856e+06   46.0363    6.260   4.564   0.157748   0.822874   0.000244   0.000383   0.001420   0.8461       -4.398      2.488   8.360   0.000000   0.450770
  127      85.00  0.020   1  33   2.992164e+06   45.3039    6.261   4.675   0.041390   0.939256   0.000317   0.000305   0.001420   0.8791       -4.398      2.504   8.367   0.000000   0.399763
  128      85.00  0.020   1  34   3.005089e+06   44.1537    6.241   4.316   0.000000   0.359763   0.386736   0.226016   0.001393   0.8723       -3.101      2.507   8.367   0.000000   0.356689
  129      85.00  0.020   1  35   3.030896e+06   26.4546    5.943   4.373   0.000000   0.316864   0.388237   0.267337   0.001394   0.8240       -3.426      2.629   8.359   0.000000   0.300665
  130      85.00  0.020   1  36   3.053597e+06   20.4545    5.784   4.447   0.000000   0.283614   0.387424   0.301344   0.001395   0.8050       -3.711      2.710   8.360   0.000000   0.250196
  131      85.00  0.020   1  37   3.077433e+06   16.8743    5.663   4.497   0.000000   0.247744   0.383565   0.341006   0.001397   0.7830       -3.923      2.779   8.364   0.000000   0.200669
  132      85.00  0.020   1  38   3.104675e+06   14.2711    5.557   4.538   0.000000   0.209760   0.374622   0.387850   0.001399   0.7613       -4.107      2.852   8.371   0.000000   0.149516
  133      85.00  0.020   1  39   3.135004e+06   12.3181    5.464   4.574   0.000000   0.173066   0.359615   0.439452   0.001404   0.7395       -4.267      2.933   8.383   0.000000   0.099520
  134      85.00  0.020   1  40   3.169340e+06   10.7642    5.381   4.608   0.000000   0.135413   0.335510   0.501069   0.001412   0.7160       -4.415      3.039   8.404   0.000000   0.051496
  135      85.00  0.020   1  41   3.186988e+06   10.1382    5.346   4.625   0.000000   0.117809   0.320372   0.533724   0.001418   0.7010       -4.480      3.110   8.421   0.000000   0.030032
  136      85.00  0.020   1  42   3.204342e+06    9.6049    5.320   4.645   0.000000   0.102486   0.304720   0.564605   0.001427   0.6835       -4.540      3.221   8.452   0.000000   0.010651
  137      85.00  0.020   1  43   3.221556e+06    9.1414    5.341   4.693   0.000000   0.088403   0.287945   0.595354   0.001441   0.0000       -4.597      3.618   8.577   0.000000   0.000000
  138      85.00  0.020   1  44   3.224754e+06    9.0614    5.393   4.729   0.000000   0.086057   0.284911   0.600713   0.001443   0.0000       -4.607      4.010   8.700   0.000000   0.000000
  139      85.00  0.020   1  45   3.227386e+06    8.9969    5.426   4.753   0.000000   0.084165   0.282410   0.605088   0.001446   0.0000       -4.615      4.418   8.799   0.000000   0.000000
  140      85.00  0.020   1  46   3.228195e+06    8.9773    5.455   4.762   0.000000   0.083616   0.281679   0.606363   0.001447   0.0000       -4.617      4.884   8.871   0.000000   0.000000
  141      85.00  0.020   1  47   3.228269e+06    8.9755    5.471   4.769   0.000000   0.083567   0.281614   0.606476   0.001447   0.0000       -4.617      5.169   8.929   0.000000   0.000000
  142      85.00  0.020   1  48   3.228276e+06    8.9754    5.474   4.772   0.000000   0.083563   0.281608   0.606487   0.001447   0.0000       -4.617      5.231   8.948   0.000000   0.000000
  143      85.00  0.020   1  49   3.228280e+06    8.9753    5.476   4.772   0.000000   0.083561   0.281605   0.606492   0.001447   0.0000       -4.617      5.277   8.961   0.000000   0.000000
  144      85.00  0.020   1  50   3.228284e+06    8.9752    5.479   4.774   0.000000   0.083558   0.281601   0.606499   0.001447   0.0000       -4.617      5.369   8.976   0.000000   0.000000
  145      85.00  0.020   1  51   3.228290e+06    8.9750    5.506   4.779   0.000000   0.083414   0.281361   0.606862   0.001464   0.0000       -4.617      5.764   9.041   0.000000   0.000000
  146      85.00  0.020   2  21   2.833797e+06   51.6853    6.299   4.281   0.183702   0.796928   0.000294   0.000400   0.001420   0.6539       -4.097      2.328   8.297   0.000000   0.973775
  147      85.00  0.020   2  22   2.841743e+06   51.0496    6.295   4.269   0.179626   0.801005   0.000298   0.000395   0.001420   0.6734       -4.097      2.391   8.318   0.000000   0.950421
  148      85.00  0.020   2  23   2.854422e+06   50.0353    6.293   4.279   0.178082   0.802549   0.000299   0.000394   0.001420   0.6982       -4.097      2.413   8.327   0.000000   0.898543
  149      85.00  0.020   2  24   2.865608e+06   49.1403    6.289   4.301   0.177855   0.802775   0.000295   0.000394   0.001420   0.7194       -4.097      2.418   8.330   0.000000   0.850563
  150      85.00  0.020   2  25   2.877541e+06   48.1857    6.284   4.328   0.176158   0.804471   0.000287   0.000392   0.001420   0.7432       -4.097      2.425   8.333   0.000000   0.801418
  151      85.00  0.020   2  26   2.890220e+06   47.1714    6.276   4.368   0.174851   0.805774   0.000264   0.000391   0.001420   0.7705       -4.097      2.432   8.336   0.000000   0.749709
  152      85.00  0.020   2  27   2.903392e+06   46.1176    6.260   4.424   0.173659   0.806958   0.000218   0.000390   0.001420   0.8010       -4.097      2.439   8.339   0.000000   0.699444
